Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
17-06-2026 00:03,,,NOP,,3.240742,,3.944443
17-06-2026 00:08,,,NOP,,3.790508,,4.012154
17-06-2026 00:13,,,NOP,,3.90625,,4.034721
17-06-2026 00:18,,,NOP,,3.993057,,4.102432
17-06-2026 00:23,,,NOP,,3.67477,,4.192707
17-06-2026 00:28,,,NOP,,3.790508,,4.282986
17-06-2026 00:33,,,NOP,,3.90625,,4.260414
17-06-2026 00:38,,,NOP,,4.31134,,4.350697
17-06-2026 00:43,,,NOP,,3.993057,,4.440975
17-06-2026 00:48,,,NOP,,3.67477,,4.440975
17-06-2026 00:53,,,NOP,,3.240742,,4.53125
17-06-2026 00:58,,,NOP,,3.327549,,4.553818
17-06-2026 01:03,,,NOP,,3.67477,,4.689236
17-06-2026 01:08,,,NOP,,3.993057,,4.621529
17-06-2026 01:13,,,NOP,,3.790508,,4.621529
17-06-2026 01:18,,,NOP,,4.369209,,4.598957
17-06-2026 01:23,,,NOP,,4.54282,,4.598957
17-06-2026 01:28,,,NOP,,5.32407,,4.711807
17-06-2026 01:33,,,NOP,,4.658562,,4.689236
17-06-2026 01:38,,,NOP,,4.340279,,4.621529
17-06-2026 01:43,,,NOP,,4.340279,,4.598957
17-06-2026 01:48,,,NOP,,4.224541,,4.598957
17-06-2026 01:53,,,NOP,,4.340279,,4.666668
17-06-2026 01:58,,,NOP,,4.54282,,4.689236
17-06-2026 02:03,,,NOP,,4.774307,,4.689236
17-06-2026 02:08,,,NOP,,4.774307,,4.689236
17-06-2026 02:13,,,NOP,,5.09259,,4.621529
17-06-2026 02:18,,,NOP,,5.32407,,4.598957
17-06-2026 02:23,,,NOP,,5.208332,,4.598957
17-06-2026 02:28,,,NOP,,5.208332,,4.53125
17-06-2026 02:33,,,NOP,,4.571758,,4.463543
17-06-2026 02:38,,,NOP,,4.340279,,4.440975
17-06-2026 02:43,,,NOP,,3.67477,,4.373264
17-06-2026 02:48,,,NOP,,3.35648,,4.192707
17-06-2026 02:53,,,NOP,,3.009258,,4.102432
17-06-2026 02:58,,,NOP,,2.57523,,4.034721
17-06-2026 03:03,,,NOP,,2.256943,,4.012154
17-06-2026 03:08,,,NOP,,1.909721,,4.012154
17-06-2026 03:13,,,NOP,,2.11227,,4.012154
17-06-2026 03:18,,,NOP,,2.34375,,4.102432
17-06-2026 03:23,,,NOP,,2.690971,,4.260414
17-06-2026 03:28,,,NOP,,2.777779,,4.328125
17-06-2026 03:33,,,NOP,,2.777779,,4.350697
17-06-2026 03:38,,,NOP,,2.89352,,4.440975
17-06-2026 03:43,,,NOP,,2.806709,,4.463543
17-06-2026 03:48,,,NOP,,2.89352,,4.440975
17-06-2026 03:53,,,NOP,,3.211807,,4.53125
17-06-2026 03:58,,,NOP,,3.096062,,4.53125
17-06-2026 04:03,,,NOP,,2.89352,,4.53125
17-06-2026 04:08,,,NOP,,3.009258,,4.440975
17-06-2026 04:13,,,NOP,,3.877312,,4.102432
17-06-2026 04:18,,,NOP,,3.559029,,4.125
17-06-2026 04:23,,,NOP,,3.67477,,4.034721
17-06-2026 04:28,,,NOP,,4.108799,,3.989582
17-06-2026 04:33,,,NOP,,3.790508,,4.102432
17-06-2026 04:38,,,NOP,,3.790508,,4.170135
17-06-2026 04:43,,,NOP,,4.108799,,4.192707
