Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
10-06-2026 00:03,,,                NOP,,4.176071,,2.603302
10-06-2026 00:08,,,                NOP,,4.406395,,2.718315
10-06-2026 00:13,,,                NOP,,3.859375,,2.695313
10-06-2026 00:18,,,                NOP,,4.060909,,2.856335
10-06-2026 00:23,,,                NOP,,3.657841,,3.040363
10-06-2026 00:28,,,                NOP,,3.945747,,3.45443
10-06-2026 00:33,,,                NOP,,3.859375,,3.385414
10-06-2026 00:38,,,                NOP,,4.176071,,3.201389
10-06-2026 00:43,,,                NOP,,4.291233,,4.052517
10-06-2026 00:48,,,                NOP,,4.406395,,4.558594
10-06-2026 00:53,,,                NOP,,3.859375,,4.995663
10-06-2026 00:58,,,                NOP,,3.859375,,5.248695
10-06-2026 01:03,,,                NOP,,3.542679,,5.317711
10-06-2026 01:08,,,                NOP,,3.657841,,5.340714
10-06-2026 01:13,,,                NOP,,4.060909,,5.317711
10-06-2026 01:18,,,                NOP,,3.974537,,5.50174
10-06-2026 01:23,,,                NOP,,4.406395,,5.340714
10-06-2026 01:28,,,                NOP,,4.406395,,5.340714
10-06-2026 01:33,,,                NOP,,4.607925,,5.156685
10-06-2026 01:38,,,                NOP,,4.636719,,4.581596
10-06-2026 01:43,,,                NOP,,4.406395,,3.891495
10-06-2026 01:48,,,                NOP,,4.723091,,3.638454
10-06-2026 01:53,,,                NOP,,3.859375,,3.385414
10-06-2026 01:58,,,                NOP,,4.089699,,3.040363
10-06-2026 02:03,,,                NOP,,4.176071,,2.856335
10-06-2026 02:08,,,                NOP,,4.838253,,2.856335
10-06-2026 02:13,,,                NOP,,5.932289,,2.787327
10-06-2026 02:18,,,                NOP,,4.976852,,2.511288
10-06-2026 02:23,,,                NOP,,4.253471,,2.350262
10-06-2026 02:28,,,                NOP,,3.587959,,2.166233
10-06-2026 02:33,,,                NOP,,3.125,,2.028214
10-06-2026 02:38,,,                NOP,,2.806709,,1.844181
10-06-2026 02:43,,,                NOP,,2.71991,,1.752167
10-06-2026 02:48,,,                NOP,,2.459492,,1.683159
10-06-2026 02:53,,,                NOP,,2.372688,,1.660156
10-06-2026 02:58,,,                NOP,,2.141201,,1.591148
10-06-2026 03:03,,,                NOP,,2.170139,,1.683159
10-06-2026 03:08,,,                NOP,,2.34375,,1.660156
10-06-2026 03:13,,,                NOP,,2.546299,,1.568142
10-06-2026 03:18,,,                NOP,,2.690971,,1.591148
10-06-2026 03:23,,,                NOP,,2.89352,,1.591148
10-06-2026 03:28,,,                NOP,,3.125,,1.591148
10-06-2026 03:33,,,                NOP,,2.89352,,1.591148
10-06-2026 03:38,,,                NOP,,3.125,,1.246094
10-06-2026 03:43,,,                NOP,,3.211807,,1.338108
10-06-2026 03:48,,,                NOP,,3.009258,,1.246094
10-06-2026 03:53,,,                NOP,,2.806709,,1.40712
10-06-2026 03:58,,,                NOP,,2.806709,,1.40712
10-06-2026 04:03,,,                NOP,,2.690971,,1.430122
10-06-2026 04:08,,,                NOP,,3.009258,,1.430122
10-06-2026 04:13,,,                NOP,,2.922451,,1.338108
10-06-2026 04:18,,,                NOP,,3.125,,1.315105
10-06-2026 04:23,,,                NOP,,3.038193,,1.568142
10-06-2026 04:28,,,                NOP,,3.240742,,1.499134
10-06-2026 04:33,,,                NOP,,3.35648,,1.591148
10-06-2026 04:38,,,                NOP,,3.472221,,1.591148
10-06-2026 04:43,,,                NOP,,3.443291,,1.775173
10-06-2026 04:48,,,                NOP,,3.790508,,2.028214
10-06-2026 04:53,,,                NOP,,3.559029,,2.097221
10-06-2026 04:58,,,                NOP,,3.67477,,2.166233
10-06-2026 05:03,,,                NOP,,3.790508,,2.350262
10-06-2026 05:08,,,                NOP,,3.993057,,2.350262
10-06-2026 05:13,,,                NOP,,3.790508,,2.41927
