Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
09-06-2026 00:03,,,                 NOP,,3.859375,,4.841724
09-06-2026 00:08,,,                 NOP,,4.291233,,5.019966
09-06-2026 00:13,,,                 NOP,,4.204861,,4.930843
09-06-2026 00:18,,,                 NOP,,3.773003,,5.019966
09-06-2026 00:23,,,                 NOP,,3.773003,,5.175926
09-06-2026 00:28,,,                 NOP,,3.859375,,5.175926
09-06-2026 00:33,,,                 NOP,,3.974537,,5.265045
09-06-2026 00:38,,,                 NOP,,3.974537,,5.354164
09-06-2026 00:43,,,                 NOP,,4.406395,,5.421009
09-06-2026 00:48,,,                 NOP,,4.320023,,5.354164
09-06-2026 00:53,,,                 NOP,,3.859375,,5.443287
09-06-2026 00:58,,,                 NOP,,4.406395,,5.421009
09-06-2026 01:03,,,                 NOP,,4.550346,,5.510128
09-06-2026 01:08,,,                 NOP,,5.298901,,5.421009
09-06-2026 01:13,,,                 NOP,,4.435184,,5.443287
09-06-2026 01:18,,,                 NOP,,4.320023,,5.421009
09-06-2026 01:23,,,                 NOP,,4.089699,,5.421009
09-06-2026 01:28,,,                 NOP,,4.089699,,5.398724
09-06-2026 01:33,,,                 NOP,,4.089699,,5.443287
09-06-2026 01:38,,,                 NOP,,4.089699,,5.421009
09-06-2026 01:43,,,                 NOP,,4.00333,,5.487846
09-06-2026 01:48,,,                 NOP,,4.089699,,5.599247
09-06-2026 01:53,,,                 NOP,,4.089699,,5.621529
09-06-2026 01:58,,,                 NOP,,3.888168,,5.599247
09-06-2026 02:03,,,                 NOP,,3.974537,,5.599247
09-06-2026 02:08,,,                 NOP,,4.089699,,5.599247
09-06-2026 02:13,,,                 NOP,,4.204861,,5.599247
09-06-2026 02:18,,,                 NOP,,4.291233,,5.510128
09-06-2026 02:23,,,                 NOP,,4.406395,,5.510128
09-06-2026 02:28,,,                 NOP,,4.723091,,5.510128
09-06-2026 02:33,,,                 NOP,,5.298901,,5.354164
09-06-2026 02:38,,,                 NOP,,4.953415,,5.265045
09-06-2026 02:43,,,                 NOP,,4.550346,,5.175926
09-06-2026 02:48,,,                 NOP,,4.320023,,5.109089
09-06-2026 02:53,,,                 NOP,,3.974537,,4.997684
09-06-2026 02:58,,,                 NOP,,3.657841,,5.019966
09-06-2026 03:03,,,                 NOP,,3.427517,,5.019966
09-06-2026 03:08,,,                 NOP,,3.225986,,5.019966
09-06-2026 03:13,,,                 NOP,,3.110825,,5.019966
09-06-2026 03:18,,,                 NOP,,3.197193,,5.086803
09-06-2026 03:23,,,                 NOP,,3.312355,,5.175926
09-06-2026 03:28,,,                 NOP,,3.427517,,5.242767
09-06-2026 03:33,,,                 NOP,,3.427517,,5.331886
09-06-2026 03:38,,,                 NOP,,3.312355,,5.331886
09-06-2026 03:43,,,                 NOP,,3.197193,,5.421009
09-06-2026 03:48,,,                 NOP,,3.312355,,5.421009
09-06-2026 03:53,,,                 NOP,,3.657841,,5.510128
09-06-2026 03:58,,,                 NOP,,3.744213,,5.487846
09-06-2026 04:03,,,                 NOP,,3.974537,,5.576969
09-06-2026 04:08,,,                 NOP,,4.089699,,5.510128
09-06-2026 04:13,,,                 NOP,,4.089699,,5.510128
09-06-2026 04:18,,,                 NOP,,3.657841,,5.421009
09-06-2026 04:23,,,                 NOP,,3.110825,,5.331886
09-06-2026 04:28,,,                 NOP,,2.794128,,5.354164
09-06-2026 04:33,,,                 NOP,,2.995659,,5.331886
09-06-2026 04:38,,,                 NOP,,3.082031,,5.242767
09-06-2026 04:43,,,                 NOP,,2.995659,,5.354164
09-06-2026 04:48,,,                 NOP,,3.341148,,5.265045
09-06-2026 04:53,,,                 NOP,,3.427517,,5.331886
09-06-2026 04:58,,,                 NOP,,3.312355,,5.331886
09-06-2026 05:03,,,                 NOP,,3.110825,,5.265045
09-06-2026 05:08,,,                 NOP,,2.995659,,5.331886
09-06-2026 05:13,,,                 NOP,,2.880497,,5.331886
09-06-2026 05:18,,,                 NOP,,2.765335,,5.331886
09-06-2026 05:23,,,                 NOP,,2.880497,,5.242767
09-06-2026 05:28,,,                 NOP,,2.880497,,5.242767
09-06-2026 05:33,,,                 NOP,,3.427517,,5.421009
09-06-2026 05:38,,,                 NOP,,2.880497,,5.331886
09-06-2026 05:43,,,                 NOP,,3.197193,,5.265045
09-06-2026 05:48,,,                 NOP,,3.197193,,5.354164
09-06-2026 05:53,,,                 NOP,,3.312355,,5.421009
09-06-2026 05:58,,,                 NOP,,3.427517,,5.510128
09-06-2026 06:03,,,                 NOP,,3.197193,,5.599247
09-06-2026 06:08,,,                 NOP,,3.197193,,5.510128
09-06-2026 06:13,,,                 NOP,,3.110825,,5.510128
09-06-2026 06:18,,,                 NOP,,3.197193,,5.443287
09-06-2026 06:23,,,                 NOP,,3.312355,,5.421009
09-06-2026 06:28,,,3.104168,,3.744213,,5.510128
09-06-2026 06:33,,,2.789059,,3.225986,,5.487846
09-06-2026 06:38,,,2.588543,,3.110825,,5.510128
09-06-2026 06:43,,,2.559895,,3.427517,,5.666088
09-06-2026 06:48,,,2.645836,,3.225986,,5.777489
09-06-2026 06:53,,,2.703125,,3.312355,,5.822048
09-06-2026 06:58,,,2.903645,,3.110825,,5.755211
09-06-2026 07:03,,,2.989582,,3.082031,,5.84433
09-06-2026 07:08,,,3.419273,,2.826824,,5.84433
09-06-2026 07:13,,,3.505207,,2.826824,,5.822048
09-06-2026 07:18,,,3.648438,,2.303383,,5.911167
09-06-2026 07:23,,,3.648438,,2.070744,,5.911167
09-06-2026 07:28,,,3.591148,,2.594185,,5.978008
09-06-2026 07:33,,,3.505207,,2.506943,,3.490162
09-06-2026 07:38,,,3.533855,,2.070744,,3.535881
09-06-2026 07:43,,,3.70573,,1.954426,,3.581596
09-06-2026 07:48,,,3.791664,,1.867191,,3.558735
09-06-2026 07:53,,,3.734371,,2.274307,,3.558735
09-06-2026 07:58,,,3.70573,,2.187065,,3.627316
09-06-2026 08:03,,,3.734371,,1.518227,,3.650173
09-06-2026 08:08,,,3.734371,,1.721786,,3.535881
09-06-2026 08:13,,,3.76302,,1.721786,,3.558735
09-06-2026 08:18,,,4.164063,,1.75087,,3.238716
09-06-2026 08:23,,,3.067131,,2.157986,,2.552952
09-06-2026 08:28,,,3.385418,,2.274307,,2.210072
09-06-2026 08:33,,,3.559029,,2.390625,,1.890049
09-06-2026 08:38,,,3.414352,,2.943142,,1.775753
09-06-2026 08:43,,,3.443291,,2.8559,,1.707172
09-06-2026 08:48,,,3.67477,,2.623264,,1.524303
09-06-2026 08:53,,,3.616898,,2.8559,,1.432869
09-06-2026 08:58,,,3.790508,,2.739582,,1.432869
09-06-2026 09:03,,,3.90625,,2.623264,,1.524303
09-06-2026 09:08,,,4.021992,,2.943142,,1.592884
09-06-2026 09:13,,,3.408421,,3.059464,,1.615738
09-06-2026 09:18,,,3.379341,,3.379341,,1.615738
09-06-2026 09:23,,,3.292099,,3.292099,,1.592884
09-06-2026 09:28,,,3.23394,,2.943142,,1.684319
09-06-2026 09:33,,,3.175781,,2.972221,,1.775753
09-06-2026 09:38,,,3.117622,,2.972221,,1.867188
09-06-2026 09:43,,,3.146698,,2.943142,,1.684319
09-06-2026 09:48,,,2.972221,,2.652348,,1.844326
09-06-2026 09:53,,,3.001305,,2.506943,,3.797745
09-06-2026 09:58,,,3.059464,,2.943142,,3.64077
09-06-2026 10:03,,,3.001305,,2.943142,,3.394096
09-06-2026 10:08,,,3.059464,,2.739582,,3.461372
09-06-2026 10:13,,,2.943142,,2.623264,,3.573494
09-06-2026 10:18,,,3.03038,,2.943142,,3.752895
09-06-2026 10:23,,,3.175781,,3.175781,,3.551071
09-06-2026 10:28,,,3.088539,,3.379341,,3.820168
09-06-2026 10:33,,,3.117622,,3.495663,,3.820168
09-06-2026 10:38,,,3.204865,,3.175781,,3.394096
09-06-2026 10:43,,,3.23394,,3.379341,,3.304398
09-06-2026 10:48,,,3.175781,,3.175781,,3.237125
09-06-2026 10:53,,,3.088539,,2.739582,,3.125
09-06-2026 10:58,,,3.059464,,2.739582,,3.057724
09-06-2026 11:03,,,3.23394,,3.931854,,2.990452
09-06-2026 11:08,,,3.204865,,4.251736,,2.900753
09-06-2026 11:13,,,3.146698,,3.960938,,2.990452
09-06-2026 11:18,,,3.001305,,4.04818,,2.968025
09-06-2026 11:23,,,2.884983,,3.931854,,3.147427
09-06-2026 11:28,,,2.768665,,4.04818,,3.057724
09-06-2026 11:33,,,2.681423,,4.164497,,3.147427
09-06-2026 11:38,,,2.565102,,4.193577,,3.237125
09-06-2026 11:43,,,2.623264,,4.04818,,3.057724
09-06-2026 11:48,,,2.506943,,4.280819,,3.057724
09-06-2026 11:53,,,2.361542,,4.280819,,3.147427
09-06-2026 11:58,,,2.157986,,4.164497,,3.237125
09-06-2026 12:03,,,2.128902,,4.280819,,3.304398
09-06-2026 12:08,,,2.157986,,4.484371,,3.057724
09-06-2026 12:13,,,2.128902,,4.71701,,3.147427
09-06-2026 12:18,,,2.099827,,4.600693,,3.125
09-06-2026 12:23,,,1.92535,,4.513454,,3.237125
09-06-2026 12:28,,,1.779945,,4.484371,,3.371674
09-06-2026 12:33,,,1.809029,,4.71701,,3.326824
09-06-2026 12:38,,,1.779945,,4.600693,,3.237125
09-06-2026 12:43,,,1.634552,,4.397137,,3.237125
09-06-2026 12:48,,,1.401909,,4.077255,,3.304398
09-06-2026 12:53,,,1.285587,,3.873695,,3.304398
09-06-2026 12:58,,,1.605469,,3.960938,,3.237125
09-06-2026 13:03,,,1.372829,,3.84462,,3.057724
09-06-2026 13:08,,,1.343746,,3.84462,,3.169849
09-06-2026 13:13,,,1.489151,,3.84462,,3.147427
09-06-2026 13:18,,,1.401909,,3.728298,,2.721355
09-06-2026 13:23,,,1.285587,,3.524738,,2.811054
09-06-2026 13:28,,,1.198353,,3.495663,,2.721355
09-06-2026 13:33,,,1.082035,,3.408421,,2.811054
09-06-2026 13:38,,,1.111111,,3.553822,,2.878326
09-06-2026 13:43,,,1.96759,,3.495663,,2.497105
09-06-2026 13:48,,,1.93866,,3.408421,,2.474682
09-06-2026 13:53,,,1.79398,,3.088539,,2.474682
09-06-2026 13:58,,,1.678242,,3.088539,,2.564381
09-06-2026 14:03,,,1.533562,,2.8559,,2.631657
09-06-2026 14:08,,,1.446758,,2.972221,,2.721355
09-06-2026 14:13,,,1.475693,,3.175781,,2.743778
09-06-2026 14:18,,,1.70718,,3.495663,,2.766205
09-06-2026 14:23,,,1.649307,,3.728298,,2.564381
09-06-2026 14:28,,,1.504631,,3.641056,,2.631657
09-06-2026 14:33,,,1.41782,,3.728298,,2.654079
09-06-2026 14:38,,,1.475693,,3.728298,,2.654079
09-06-2026 14:43,,,1.591438,,3.408421,,2.631657
09-06-2026 14:48,,,1.736111,,3.495663,,2.654079
09-06-2026 14:53,,,1.851852,,3.408421,,2.317707
09-06-2026 14:58,,,1.678242,,2.972221,,2.250435
09-06-2026 15:03,,,1.620369,,2.739582,,2.138309
09-06-2026 15:08,,,1.475693,,2.303383,,2.071037
09-06-2026 15:13,,,1.5625,,2.303383,,2.071037
09-06-2026 15:18,,,1.822918,,2.506943,,1.734665
09-06-2026 15:23,,,1.822918,,2.303383,,1.487991
09-06-2026 15:28,,,1.649307,,2.070744,,1.487991
09-06-2026 15:33,,,1.388889,,1.605469,,1.487991
09-06-2026 15:38,,,1.901623,,2.228008,,2.759113
09-06-2026 15:43,,,1.959202,,2.256943,,2.73698
09-06-2026 15:48,,,2.189526,,2.34375,,3.091145
09-06-2026 15:53,,,2.304688,,2.459492,,3.3125
09-06-2026 15:58,,,2.218315,,2.34375,,3.578125
09-06-2026 16:03,,,2.189526,,2.141201,,3.821613
09-06-2026 16:08,,,2.074364,,2.025459,,3.976563
09-06-2026 16:13,,,2.160732,,2.025459,,4.153648
09-06-2026 16:18,,,2.160732,,2.141201,,4.26432
09-06-2026 16:23,,,2.103153,,1.909721,,4.242188
09-06-2026 16:28,,,1.84404,,1.70718,,4.220051
09-06-2026 16:33,,,1.815247,,1.591438,,4.30859
09-06-2026 16:38,,,2.016785,,1.79398,,4.30859
09-06-2026 16:43,,,2.131947,,2.025459,,4.220051
09-06-2026 16:48,,,1.959202,,1.909721,,4.220051
09-06-2026 16:53,,,1.84404,,1.79398,,4.242188
09-06-2026 16:58,,,1.84404,,1.591438,,4.33073
09-06-2026 17:03,,,1.556137,,1.475693,,4.48568
09-06-2026 17:08,,,1.613716,,2.218315,,4.48568
09-06-2026 17:13,,,1.613716,,2.304688,,4.729164
09-06-2026 17:18,,,1.901623,,2.650173,,4.729164
09-06-2026 17:23,,,2.016785,,2.765335,,4.817707
09-06-2026 17:28,,,2.04557,,2.650173,,4.817707
09-06-2026 17:33,,,                 NOP,,2.650173,,4.729164
09-06-2026 17:38,,,                 NOP,,2.563805,,4.729164
09-06-2026 17:43,,,                 NOP,,2.419849,,4.707031
09-06-2026 17:48,,,                 NOP,,2.333481,,4.795574
09-06-2026 17:53,,,                 NOP,,2.448643,,6.035156
09-06-2026 17:58,,,                 NOP,,2.448643,,7.341145
09-06-2026 18:03,,,                 NOP,,2.535011,,4.558594
09-06-2026 18:08,,,                 NOP,,2.563805,,4.972656
09-06-2026 18:13,,,                 NOP,,2.333481,,4.627602
09-06-2026 18:18,,,                 NOP,,2.103153,,4.052517
09-06-2026 18:23,,,                 NOP,,1.987991,,3.638454
09-06-2026 18:28,,,                 NOP,,1.786461,,3.385414
09-06-2026 18:33,,,                 NOP,,1.556137,,3.109375
09-06-2026 18:38,,,                 NOP,,1.325809,,2.856335
09-06-2026 18:43,,,                 NOP,,1.671299,,2.787327
09-06-2026 18:48,,,                 NOP,,1.987991,,2.718315
09-06-2026 18:53,,,                 NOP,,2.189526,,2.695313
09-06-2026 18:58,,,                 NOP,,2.304688,,3.385414
09-06-2026 19:03,,,                 NOP,,2.535011,,4.213543
09-06-2026 19:08,,,                 NOP,,2.880497,,4.81163
09-06-2026 19:13,,,                 NOP,,2.650173,,5.156685
09-06-2026 19:18,,,                 NOP,,2.535011,,5.248695
09-06-2026 19:23,,,                 NOP,,2.535011,,5.409721
09-06-2026 19:28,,,                 NOP,,2.218315,,5.409721
09-06-2026 19:33,,,                 NOP,,2.016785,,5.50174
09-06-2026 19:38,,,                 NOP,,2.016785,,5.409721
09-06-2026 19:43,,,                 NOP,,2.103153,,5.432724
09-06-2026 19:48,,,                 NOP,,2.103153,,5.478729
09-06-2026 19:53,,,                 NOP,,2.218315,,5.662766
09-06-2026 19:58,,,                 NOP,,2.016785,,4.81163
09-06-2026 20:03,,,                 NOP,,1.987991,,4.397568
09-06-2026 20:08,,,                 NOP,,2.189526,,4.374569
09-06-2026 20:13,,,                 NOP,,2.218315,,4.213543
09-06-2026 20:18,,,                 NOP,,2.218315,,4.052517
09-06-2026 20:23,,,                 NOP,,1.987991,,3.960503
09-06-2026 20:28,,,                 NOP,,1.901623,,3.983509
09-06-2026 20:33,,,                 NOP,,1.987991,,3.983509
09-06-2026 20:38,,,                 NOP,,2.103153,,3.914497
09-06-2026 20:43,,,                 NOP,,2.218315,,3.79948
09-06-2026 20:48,,,                 NOP,,2.103153,,4.052517
09-06-2026 20:53,,,                 NOP,,1.987991,,4.052517
09-06-2026 20:58,,,                 NOP,,1.786461,,4.052517
09-06-2026 21:03,,,                 NOP,,1.786461,,4.052517
09-06-2026 21:08,,,                 NOP,,1.872829,,3.983509
09-06-2026 21:13,,,                 NOP,,2.016785,,3.983509
09-06-2026 21:18,,,                 NOP,,2.103153,,3.79948
09-06-2026 21:23,,,                 NOP,,2.103153,,3.615448
09-06-2026 21:28,,,                 NOP,,1.987991,,3.477428
09-06-2026 21:33,,,                 NOP,,1.901623,,3.45443
09-06-2026 21:38,,,                 NOP,,1.786461,,3.638454
09-06-2026 21:43,,,                 NOP,,1.671299,,3.638454
09-06-2026 21:48,,,                 NOP,,1.872829,,3.638454
09-06-2026 21:53,,,                 NOP,,2.304688,,3.385414
09-06-2026 21:58,,,                 NOP,,2.650173,,3.385414
09-06-2026 22:03,,,                 NOP,,2.765335,,3.408421
09-06-2026 22:08,,,                 NOP,,2.966869,,3.385414
09-06-2026 22:13,,,                 NOP,,3.082031,,3.45443
09-06-2026 22:18,,,                 NOP,,3.197193,,3.385414
09-06-2026 22:23,,,                 NOP,,3.312355,,3.293404
09-06-2026 22:28,,,                 NOP,,3.341148,,3.293404
09-06-2026 22:33,,,                 NOP,,3.197193,,3.385414
09-06-2026 22:38,,,                 NOP,,3.197193,,3.45443
09-06-2026 22:43,,,                 NOP,,3.197193,,3.385414
09-06-2026 22:48,,,                 NOP,,3.312355,,3.385414
09-06-2026 22:53,,,                 NOP,,3.197193,,3.45443
09-06-2026 22:58,,,                 NOP,,3.312355,,3.54644
09-06-2026 23:03,,,                 NOP,,3.513889,,3.54644
09-06-2026 23:08,,,                 NOP,,3.945747,,3.638454
09-06-2026 23:13,,,                 NOP,,4.291233,,3.684464
09-06-2026 23:18,,,                 NOP,,4.406395,,3.730469
09-06-2026 23:23,,,                 NOP,,4.521557,,2.603302
09-06-2026 23:28,,,                 NOP,,4.406395,,2.350262
09-06-2026 23:33,,,                 NOP,,4.291233,,2.28125
09-06-2026 23:38,,,                 NOP,,4.176071,,2.189236
09-06-2026 23:43,,,                 NOP,,4.291233,,2.189236
09-06-2026 23:48,,,                 NOP,,4.089699,,2.258247
09-06-2026 23:53,,,                 NOP,,3.859375,,2.350262
09-06-2026 23:58,,,                 NOP,,3.974537,,2.442276
