Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
11-06-2026 00:03,,,NOP,,4.723091,,3.650173
11-06-2026 00:08,,,NOP,,4.636719,,3.741611
11-06-2026 00:13,,,NOP,,4.636719,,3.810184
11-06-2026 00:18,,,NOP,,4.838253,,3.901619
11-06-2026 00:23,,,NOP,,4.636719,,3.993053
11-06-2026 00:28,,,NOP,,4.406395,,3.9702
11-06-2026 00:33,,,NOP,,4.406395,,4.061634
11-06-2026 00:38,,,NOP,,4.176071,,4.061634
11-06-2026 00:43,,,NOP,,4.521557,,4.061634
11-06-2026 00:48,,,NOP,,4.089699,,4.153069
11-06-2026 00:53,,,NOP,,3.657841,,4.175922
11-06-2026 00:58,,,NOP,,3.744213,,4.244503
11-06-2026 01:03,,,NOP,,3.945747,,4.244503
11-06-2026 01:08,,,NOP,,3.773003,,4.221642
11-06-2026 01:13,,,NOP,,3.773003,,4.221642
11-06-2026 01:18,,,NOP,,4.060909,,4.153069
11-06-2026 01:23,,,NOP,,3.657841,,4.153069
11-06-2026 01:28,,,NOP,,3.542679,,4.153069
11-06-2026 01:33,,,NOP,,3.657841,,4.153069
11-06-2026 01:38,,,NOP,,3.744213,,4.153069
11-06-2026 01:43,,,NOP,,3.859375,,4.244503
11-06-2026 01:48,,,NOP,,3.945747,,4.313076
11-06-2026 01:53,,,NOP,,3.859375,,4.313076
11-06-2026 01:58,,,NOP,,3.859375,,4.313076
11-06-2026 02:03,,,NOP,,3.859375,,4.335938
11-06-2026 02:08,,,NOP,,4.176071,,4.221642
11-06-2026 02:13,,,NOP,,4.521557,,4.244503
11-06-2026 02:18,,,NOP,,4.636719,,4.153069
11-06-2026 02:23,,,NOP,,4.723091,,4.061634
11-06-2026 02:28,,,NOP,,4.291233,,4.061634
11-06-2026 02:33,,,NOP,,4.291233,,3.993053
11-06-2026 02:38,,,NOP,,4.089699,,3.92448
11-06-2026 02:43,,,NOP,,3.657841,,3.71875
11-06-2026 02:48,,,NOP,,3.427517,,3.650173
11-06-2026 02:53,,,NOP,,3.225986,,3.650173
11-06-2026 02:58,,,NOP,,3.082031,,3.558735
11-06-2026 03:03,,,NOP,,2.765335,,3.558735
11-06-2026 03:08,,,NOP,,2.563805,,3.558735
11-06-2026 03:13,,,NOP,,2.448643,,3.558735
11-06-2026 03:18,,,NOP,,2.650173,,3.650173
11-06-2026 03:23,,,NOP,,3.283566,,3.650173
11-06-2026 03:28,,,NOP,,3.312355,,3.558735
11-06-2026 03:33,,,NOP,,3.312355,,3.558735
11-06-2026 03:38,,,NOP,,3.513889,,3.650173
11-06-2026 03:43,,,NOP,,3.629051,,3.650173
11-06-2026 03:48,,,NOP,,3.744213,,3.71875
11-06-2026 03:53,,,NOP,,3.657841,,3.71875
11-06-2026 03:58,,,NOP,,3.629051,,3.810184
11-06-2026 04:03,,,NOP,,3.513889,,3.787327
11-06-2026 04:08,,,NOP,,3.945747,,3.901619
11-06-2026 04:13,,,NOP,,3.974537,,3.833046
11-06-2026 04:18,,,NOP,,3.974537,,3.810184
11-06-2026 04:23,,,NOP,,4.406395,,3.810184
11-06-2026 04:28,,,NOP,,4.291233,,3.901619
11-06-2026 04:33,,,NOP,,4.176071,,3.901619
11-06-2026 04:38,,,NOP,,4.607925,,3.878765
11-06-2026 04:43,,,NOP,,4.176071,,3.901619
11-06-2026 04:48,,,NOP,,4.089699,,3.993053
11-06-2026 04:53,,,NOP,,4.060909,,3.9702
11-06-2026 04:58,,,NOP,,4.406395,,3.993053
11-06-2026 05:03,,,NOP,,4.723091,,3.901619
11-06-2026 05:08,,,NOP,,5.068577,,3.993053
11-06-2026 05:13,,,NOP,,5.068577,,3.993053
11-06-2026 05:18,,,NOP,,4.953415,,4.061634
11-06-2026 05:23,,,NOP,,4.953415,,3.993053
11-06-2026 05:28,,,NOP,,4.723091,,3.993053
11-06-2026 05:33,,,NOP,,4.089699,,3.9702
11-06-2026 05:38,,,NOP,,3.859375,,4.061634
11-06-2026 05:43,,,NOP,,3.974537,,3.993053
11-06-2026 05:48,,,NOP,,3.859375,,3.9702
11-06-2026 05:53,,,NOP,,3.744213,,3.901619
11-06-2026 05:58,,,NOP,,3.657841,,3.901619
11-06-2026 06:03,,,NOP,,3.744213,,3.901619
11-06-2026 06:08,,,NOP,,3.657841,,3.71875
11-06-2026 06:13,,,NOP,,3.657841,,3.581596
11-06-2026 06:18,,,NOP,,3.744213,,3.398727
11-06-2026 06:23,,,NOP,,3.629051,,3.307293
11-06-2026 06:28,,,NOP,,3.427517,,3.307293
