Time,Freezer1 Temp,Freezer2 Temp,Dough Cooler1 Temp,Dough Cooler1RH Temp,Dough Cooler2 Temp,Dough Cooler2RH Temp,Perishable Cooler Temp,Perishable CoolerRH Temp,Blast Room1 Temp,Blast Room2 Temp,Pack Room Temp,ThinCrust Area Temp,Prod Room Temp,Prod RoomRH Temp
21-06-2026 00:03:02,-50,-50,6.741898,-50,2.710506,100,3.763889,100,-50,-50,8.042824,10.41667,23.0612,83.40567
21-06-2026 00:08:02,-50,-50,6.712959,-50,2.826824,100,3.854168,100,-50,-50,8.020832,10.46007,23.0612,83.28993
21-06-2026 00:13:02,-50,-50,6.712959,-50,2.826824,100,3.944443,100,-50,-50,8.064812,10.46007,23.13542,83.50694
21-06-2026 00:18:02,-50,-50,6.712959,-50,2.826824,100,3.944443,100,-50,-50,8.152775,10.46007,23.16016,83.3044
21-06-2026 00:23:02,-50,-50,6.712959,-50,2.826824,100,4.012154,100,-50,-50,8.196758,10.46007,23.16016,83.08739
21-06-2026 00:28:02,-50,-50,6.828701,-50,2.506943,100,4.102432,100,-32.49421,-50,8.350693,10.43837,23.0612,82.7691
21-06-2026 00:33:02,-50,-50,6.770832,-50,2.710506,100,4.102432,100,-50,-50,8.284725,10.41667,23.0612,82.71123
21-06-2026 00:38:02,-50,-50,6.770832,-50,2.943142,100,4.170135,100,-28.15393,-50,8.372688,10.41667,23.0612,82.8125
21-06-2026 00:43:02,-50,-50,6.770832,-50,2.826824,100,4.125,100,-50,-50,8.350693,10.41667,23.0612,83.3044
21-06-2026 00:48:02,-50,-50,6.770832,-50,2.710506,100,4.192707,100,-50,-50,8.416668,10.41667,23.0612,83.56481
21-06-2026 00:53:02,-50,-50,6.79977,-50,2.506943,100,4.192707,100,-50,-50,8.350693,10.41667,23.0612,83.60822
21-06-2026 00:58:02,-50,-50,6.828701,-50,2.710506,100,4.012154,100,-50,-50,8.108795,10.41667,23.0612,83.18866
