Time,,,Dough Cooler2 Temp,,Dough Cooler1Temp,,Perishable Cooler Temp
12-06-2026 00:03,,,NOP,,3.859375,,4.284721
12-06-2026 00:08,,,NOP,,3.773003,,4.195599
12-06-2026 00:13,,,NOP,,4.291233,,4.262444
12-06-2026 00:18,,,NOP,,4.435184,,4.262444
12-06-2026 00:23,,,NOP,,3.859375,,4.262444
12-06-2026 00:28,,,NOP,,3.974537,,4.418404
12-06-2026 00:33,,,NOP,,4.089699,,4.596645
12-06-2026 00:38,,,NOP,,4.089699,,4.663483
12-06-2026 00:43,,,NOP,,3.859375,,4.774883
12-06-2026 00:48,,,NOP,,4.176071,,4.864006
12-06-2026 00:53,,,NOP,,4.176071,,4.930843
12-06-2026 00:58,,,NOP,,4.406395,,4.997684
12-06-2026 01:03,,,NOP,,4.291233,,5.109089
12-06-2026 01:08,,,NOP,,4.291233,,5.109089
12-06-2026 01:13,,,NOP,,4.636719,,5.175926
12-06-2026 01:18,,,NOP,,4.521557,,5.242767
12-06-2026 01:23,,,NOP,,5.068577,,5.265045
12-06-2026 01:28,,,NOP,,4.406395,,5.331886
12-06-2026 01:33,,,NOP,,4.204861,,5.443287
12-06-2026 01:38,,,NOP,,4.176071,,5.331886
12-06-2026 01:43,,,NOP,,4.204861,,5.421009
12-06-2026 01:48,,,NOP,,4.320023,,5.510128
12-06-2026 01:53,,,NOP,,4.320023,,5.599247
12-06-2026 01:58,,,NOP,,4.291233,,5.487846
12-06-2026 02:03,,,NOP,,4.291233,,5.510128
12-06-2026 02:08,,,NOP,,4.089699,,5.510128
12-06-2026 02:13,,,NOP,,4.291233,,5.576969
12-06-2026 02:18,,,NOP,,4.291233,,5.487846
12-06-2026 02:23,,,NOP,,4.406395,,5.510128
12-06-2026 02:28,,,NOP,,4.723091,,5.599247
12-06-2026 02:33,,,NOP,,4.406395,,5.510128
12-06-2026 02:38,,,NOP,,3.472221,,5.421009
12-06-2026 02:43,,,NOP,,3.038193,,5.265045
12-06-2026 02:48,,,NOP,,2.690971,,5.175926
12-06-2026 02:53,,,NOP,,2.57523,,5.109089
12-06-2026 02:58,,,NOP,,2.48843,,5.109089
12-06-2026 03:03,,,NOP,,2.256943,,5.175926
12-06-2026 03:08,,,NOP,,2.228008,,5.153648
12-06-2026 03:13,,,NOP,,2.256943,,5.086803
12-06-2026 03:18,,,NOP,,2.34375,,5.109089
12-06-2026 03:23,,,NOP,,2.662041,,5.175926
12-06-2026 03:28,,,NOP,,2.777779,,5.242767
12-06-2026 03:33,,,NOP,,2.777779,,5.331886
12-06-2026 03:38,,,NOP,,2.806709,,5.331886
12-06-2026 03:43,,,NOP,,3.009258,,5.331886
12-06-2026 03:48,,,NOP,,2.690971,,5.331886
