Time,,,Dough Cooler2 Temp,,Dough Cooler1Temp,,Perishable Cooler Temp
13-06-2026 00:03,,,NOP,,3.657841,,4.930843
13-06-2026 00:08,,,NOP,,4.291233,,4.930843
13-06-2026 00:13,,,NOP,,4.521557,,5.019966
13-06-2026 00:18,,,NOP,,4.406395,,5.331886
13-06-2026 00:23,,,NOP,,4.089699,,5.331886
13-06-2026 00:28,,,NOP,,4.291233,,5.331886
13-06-2026 00:33,,,NOP,,4.406395,,5.354164
13-06-2026 00:38,,,NOP,,4.723091,,5.331886
13-06-2026 00:43,,,NOP,,4.57914,,5.443287
13-06-2026 00:48,,,NOP,,4.176071,,5.443287
13-06-2026 00:53,,,NOP,,4.521557,,5.510128
13-06-2026 00:58,,,NOP,,4.521557,,5.599247
13-06-2026 01:03,,,NOP,,4.723091,,5.599247
13-06-2026 01:08,,,NOP,,4.291233,,5.576969
13-06-2026 01:13,,,NOP,,4.320023,,5.599247
13-06-2026 01:18,,,NOP,,4.406395,,5.666088
13-06-2026 01:23,,,NOP,,4.406395,,5.666088
13-06-2026 01:28,,,NOP,,4.291233,,5.621529
13-06-2026 01:33,,,NOP,,4.204861,,5.599247
13-06-2026 01:38,,,NOP,,4.089699,,5.599247
13-06-2026 01:43,,,NOP,,4.176071,,5.576969
13-06-2026 01:48,,,NOP,,4.291233,,5.599247
13-06-2026 01:53,,,NOP,,4.521557,,5.599247
13-06-2026 01:58,,,NOP,,4.521557,,5.599247
13-06-2026 02:03,,,NOP,,4.521557,,5.576969
13-06-2026 02:08,,,NOP,,4.291233,,5.510128
13-06-2026 02:13,,,NOP,,4.320023,,5.421009
13-06-2026 02:18,,,NOP,,4.406395,,5.421009
13-06-2026 02:23,,,NOP,,4.723091,,5.443287
13-06-2026 02:28,,,NOP,,4.953415,,5.331886
13-06-2026 02:33,,,NOP,,4.953415,,5.265045
13-06-2026 02:38,,,NOP,,4.550346,,5.109089
13-06-2026 02:43,,,NOP,,4.089699,,4.997684
13-06-2026 02:48,,,NOP,,3.859375,,4.930843
13-06-2026 02:53,,,NOP,,3.542679,,4.864006
13-06-2026 02:58,,,NOP,,3.427517,,4.864006
13-06-2026 03:03,,,NOP,,3.427517,,4.841724
13-06-2026 03:08,,,NOP,,3.197193,,4.752602
13-06-2026 03:13,,,NOP,,3.110825,,4.774883
13-06-2026 03:18,,,NOP,,3.197193,,4.841724
13-06-2026 03:23,,,NOP,,3.427517,,4.841724
13-06-2026 03:28,,,NOP,,3.629051,,4.930843
13-06-2026 03:33,,,NOP,,3.945747,,5.086803
13-06-2026 03:38,,,NOP,,3.744213,,5.265045
13-06-2026 03:43,,,NOP,,3.657841,,5.265045
13-06-2026 03:48,,,NOP,,4.060909,,5.354164
13-06-2026 03:53,,,NOP,,3.859375,,5.331886
13-06-2026 03:58,,,NOP,,3.859375,,5.309605
