Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
01-06-2026 00:03,,,                NOP,,3.495663,,4.012154
01-06-2026 00:08,,,                NOP,,3.495663,,4.102432
01-06-2026 00:13,,,                NOP,,3.292099,,4.102432
01-06-2026 00:18,,,                NOP,,3.175781,,4.125
01-06-2026 00:23,,,                NOP,,3.175781,,4.125
01-06-2026 00:28,,,                NOP,,3.292099,,4.102432
01-06-2026 00:33,,,                NOP,,2.972221,,4.125
01-06-2026 00:38,,,                NOP,,3.379341,,3.487705
01-06-2026 00:43,,,                NOP,,2.972221,,3.487705
01-06-2026 00:48,,,                NOP,,3.379341,,3.669415
01-06-2026 00:53,,,                NOP,,3.61198,,3.669415
01-06-2026 00:58,,,                NOP,,4.077255,,3.57856
01-06-2026 01:03,,,                NOP,,4.368053,,3.57856
01-06-2026 01:08,,,                NOP,,4.484371,,3.669415
01-06-2026 01:13,,,                NOP,,3.84462,,3.57856
01-06-2026 01:18,,,                NOP,,3.524738,,3.669415
01-06-2026 01:23,,,                NOP,,3.088539,,3.669415
01-06-2026 01:28,,,                NOP,,2.8559,,3.601273
01-06-2026 01:33,,,                NOP,,2.739582,,3.692127
01-06-2026 01:38,,,                NOP,,2.739582,,3.760273
01-06-2026 01:43,,,                NOP,,2.8559,,3.760273
01-06-2026 01:48,,,                NOP,,3.379341,,3.851128
01-06-2026 01:53,,,                NOP,,3.379341,,3.873844
01-06-2026 01:58,,,                NOP,,3.175781,,3.851128
01-06-2026 02:03,,,                NOP,,2.972221,,3.760273
01-06-2026 02:08,,,                NOP,,2.739582,,3.760273
01-06-2026 02:13,,,                NOP,,2.826824,,3.669415
01-06-2026 02:18,,,                NOP,,2.623264,,3.510414
01-06-2026 02:23,,,                NOP,,2.187065,,3.419559
01-06-2026 02:28,,,                NOP,,1.954426,,3.328701
01-06-2026 02:33,,,                NOP,,1.867191,,3.237846
01-06-2026 02:38,,,                NOP,,1.867191,,3.169708
01-06-2026 02:43,,,                NOP,,1.75087,,3.078846
01-06-2026 02:48,,,                NOP,,1.634552,,3.010708
01-06-2026 02:53,,,                NOP,,1.518227,,2.828995
01-06-2026 02:58,,,                NOP,,1.430992,,2.919849
01-06-2026 03:03,,,                NOP,,1.721786,,2.987991
01-06-2026 03:08,,,                NOP,,1.721786,,2.919849
01-06-2026 03:13,,,                NOP,,1.954426,,3.169708
01-06-2026 03:18,,,                NOP,,2.274307,,3.192417
01-06-2026 03:23,,,                NOP,,2.187065,,3.328701
01-06-2026 03:28,,,                NOP,,2.070744,,3.328701
01-06-2026 03:33,,,                NOP,,1.954426,,3.419559
01-06-2026 03:38,,,                NOP,,1.983509,,3.510414
01-06-2026 03:43,,,                NOP,,1.954426,,3.57856
01-06-2026 03:48,,,                NOP,,1.954426,,3.57856
01-06-2026 03:53,,,                NOP,,1.954426,,3.669415
01-06-2026 03:58,,,                NOP,,2.070744,,3.57856
01-06-2026 04:03,,,                NOP,,2.274307,,3.669415
01-06-2026 04:08,,,                NOP,,2.187065,,3.73756
01-06-2026 04:13,,,                NOP,,2.303383,,3.57856
01-06-2026 04:18,,,                NOP,,2.506943,,3.669415
01-06-2026 04:23,,,                NOP,,2.390625,,3.760273
01-06-2026 04:28,,,                NOP,,2.623264,,3.760273
01-06-2026 04:33,,,                NOP,,2.623264,,3.851128
01-06-2026 04:38,,,                NOP,,2.739582,,3.851128
01-06-2026 04:43,,,                NOP,,2.506943,,3.828415
01-06-2026 04:48,,,                NOP,,2.506943,,3.896557
01-06-2026 04:53,,,                NOP,,2.390625,,3.851128
01-06-2026 04:58,,,                NOP,,1.954426,,3.828415
01-06-2026 05:03,,,                NOP,,2.943142,,3.73756
01-06-2026 05:08,,,                NOP,,2.943142,,3.851128
01-06-2026 05:13,,,                NOP,,2.826824,,3.896557
01-06-2026 05:18,,,                NOP,,4.164497,,3.828415
01-06-2026 05:23,,,                NOP,,4.71701,,3.941982
01-06-2026 05:28,,,                NOP,,4.280819,,3.987411
01-06-2026 05:33,,,                NOP,,3.960938,,4.100986
01-06-2026 05:38,,,                NOP,,3.728298,,3.919273
01-06-2026 05:43,,,                NOP,,4.164497,,3.760273
01-06-2026 05:48,,,                NOP,,4.04818,,3.760273
01-06-2026 05:53,,,                NOP,,4.04818,,3.487705
01-06-2026 05:58,,,                NOP,,3.61198,,3.396847
01-06-2026 06:03,,,                NOP,,2.972221,,3.260563
01-06-2026 06:08,,,                NOP,,2.972221,,3.192417
01-06-2026 06:13,,,                NOP,,2.943142,,2.897133
01-06-2026 06:18,,,4.437065,,3.059464,,2.919849
01-06-2026 06:23,,,4.867043,,2.8559,,3.078846
01-06-2026 06:28,,,3.571472,,2.8559,,2.987991
01-06-2026 06:33,,,3.398727,,2.826824,,2.919849
01-06-2026 06:38,,,3.053238,,2.652348,,2.897133
01-06-2026 06:43,,,2.938076,,3.059464,,2.987991
01-06-2026 06:48,,,3.053238,,3.059464,,3.010708
01-06-2026 06:53,,,3.13961,,2.826824,,2.238426
01-06-2026 06:58,,,3.341148,,2.739582,,1.738716
01-06-2026 07:03,,,3.513889,,2.623264,,1.420719
01-06-2026 07:08,,,3.773003,,2.710506,,1.148148
01-06-2026 07:13,,,3.657841,,3.059464,,0.8982925
01-06-2026 07:18,,,3.45631,,3.059464,,0.7165833
01-06-2026 07:23,,,3.341148,,2.506943,,1.914063
01-06-2026 07:28,,,3.513889,,2.390625,,1.914063
01-06-2026 07:33,,,3.830582,,2.506943,,1.914063
01-06-2026 07:38,,,3.859375,,2.623264,,1.734665
01-06-2026 07:43,,,3.801796,,2.187065,,1.757088
01-06-2026 07:48,,,3.686634,,2.303383,,1.644966
01-06-2026 07:53,,,3.571472,,2.070744,,1.734665
01-06-2026 07:58,,,3.600258,,2.187065,,1.734665
01-06-2026 08:03,,,3.945747,,2.303383,,1.734665
01-06-2026 08:08,,,3.830582,,2.506943,,1.555267
01-06-2026 08:13,,,3.744213,,2.710506,,1.644966
01-06-2026 08:18,,,3.744213,,2.303383,,1.644966
01-06-2026 08:23,,,4.060909,,2.274307,,1.644966
01-06-2026 08:28,,,4.00333,,2.303383,,1.555267
01-06-2026 08:33,,,3.916954,,2.390625,,1.57769
01-06-2026 08:38,,,3.859375,,2.070744,,1.487991
01-06-2026 08:43,,,3.859375,,2.303383,,1.555267
01-06-2026 08:48,,,4.060909,,2.536026,,1.57769
01-06-2026 08:53,,,4.463978,,2.943142,,1.241318
01-06-2026 08:58,,,4.607925,,3.263023,,1.06192
01-06-2026 09:03,,,4.694298,,3.175781,,0.9049492
01-06-2026 09:08,,,4.694298,,2.8559,,2.822918
01-06-2026 09:13,,,4.780674,,2.506943,,2.734955
01-06-2026 09:18,,,4.694298,,2.390625,,2.822918
01-06-2026 09:23,,,3.848381,,2.506943,,2.910881
01-06-2026 09:28,,,3.67477,,2.710506,,2.998844
01-06-2026 09:33,,,3.703701,,2.623264,,3.086807
01-06-2026 09:38,,,3.935188,,2.623264,,3.064812
01-06-2026 09:43,,,3.877312,,2.623264,,2.976852
01-06-2026 09:48,,,3.935188,,2.710506,,2.976852
01-06-2026 09:53,,,3.993057,,2.739582,,3.064812
01-06-2026 09:58,,,4.253471,,2.8559,,3.21875
01-06-2026 10:03,,,4.224541,,3.175781,,3.21875
01-06-2026 10:08,,,4.340279,,3.292099,,3.306713
01-06-2026 10:13,,,4.28241,,3.61198,,3.394676
01-06-2026 10:18,,,4.31134,,3.61198,,3.570602
01-06-2026 10:23,,,4.340279,,3.728298,,3.724537
01-06-2026 10:28,,,4.253471,,3.728298,,3.724537
01-06-2026 10:33,,,4.195602,,3.61198,,3.724537
01-06-2026 10:38,,,3.964119,,3.408421,,3.834492
01-06-2026 10:43,,,3.790508,,3.61198,,3.878475
01-06-2026 10:48,,,3.819443,,3.84462,,3.966438
01-06-2026 10:53,,,3.76157,,3.495663,,3.878475
01-06-2026 10:58,,,3.53009,,3.059464,,3.944443
01-06-2026 11:03,,,3.327549,,2.8559,,4.054398
01-06-2026 11:08,,,3.327549,,2.419708,,4.032406
01-06-2026 11:13,,,3.153938,,2.070744,,3.8125
01-06-2026 11:18,,,2.864582,,1.75087,,3.8125
01-06-2026 11:23,,,2.57523,,1.75087,,3.878475
01-06-2026 11:28,,,2.777779,,2.041668,,4.054398
01-06-2026 11:33,,,3.211807,,2.826824,,3.878475
01-06-2026 11:38,,,3.50116,,3.059464,,3.724537
01-06-2026 11:43,,,3.67477,,3.175781,,3.482639
01-06-2026 11:48,,,3.90625,,3.495663,,3.394676
