Time,,,Dough Cooler2 Temp,,Dough Cooler1 Temp,,Perishable Cooler Temp
07-06-2026 00:03,,,                 NOP,,3.815536,,4.350697
07-06-2026 00:08,,,                 NOP,,3.61198,,4.463543
07-06-2026 00:13,,,                 NOP,,3.728298,,4.598957
07-06-2026 00:18,,,                 NOP,,3.495663,,4.598957
07-06-2026 00:23,,,                 NOP,,3.408421,,4.711807
07-06-2026 00:28,,,                 NOP,,3.292099,,3.4673
07-06-2026 00:33,,,                 NOP,,3.175781,,3.535881
07-06-2026 00:38,,,                 NOP,,3.495663,,3.581596
07-06-2026 00:43,,,                 NOP,,3.175781,,3.650173
07-06-2026 00:48,,,                 NOP,,3.292099,,3.627316
07-06-2026 00:53,,,                 NOP,,2.972221,,3.650173
07-06-2026 00:58,,,                 NOP,,2.739582,,3.741611
07-06-2026 01:03,,,                 NOP,,3.059464,,3.71875
07-06-2026 01:08,,,                 NOP,,3.728298,,3.650173
07-06-2026 01:13,,,                 NOP,,4.251736,,3.741611
07-06-2026 01:18,,,                 NOP,,4.280819,,3.741611
07-06-2026 01:23,,,                 NOP,,4.513454,,3.71875
07-06-2026 01:28,,,                 NOP,,4.71701,,3.810184
07-06-2026 01:33,,,                 NOP,,4.280819,,3.878765
07-06-2026 01:38,,,                 NOP,,3.960938,,3.901619
07-06-2026 01:43,,,                 NOP,,3.728298,,3.810184
07-06-2026 01:48,,,                 NOP,,3.61198,,3.810184
07-06-2026 01:53,,,                 NOP,,3.524738,,3.810184
07-06-2026 01:58,,,                 NOP,,3.728298,,3.901619
07-06-2026 02:03,,,                 NOP,,3.931854,,3.9702
07-06-2026 02:08,,,                 NOP,,4.164497,,3.901619
07-06-2026 02:13,,,                 NOP,,4.280819,,3.901619
07-06-2026 02:18,,,                 NOP,,4.368053,,3.901619
07-06-2026 02:23,,,                 NOP,,3.960938,,3.833046
07-06-2026 02:28,,,                 NOP,,3.84462,,3.810184
07-06-2026 02:33,,,                 NOP,,3.408421,,3.627316
07-06-2026 02:38,,,                 NOP,,3.292099,,3.558735
07-06-2026 02:43,,,                 NOP,,3.059464,,3.490162
07-06-2026 02:48,,,                 NOP,,2.972221,,3.490162
07-06-2026 02:53,,,                 NOP,,2.623264,,3.398727
07-06-2026 02:58,,,                 NOP,,2.303383,,3.398727
07-06-2026 03:03,,,                 NOP,,2.187065,,3.421585
07-06-2026 03:08,,,                 NOP,,2.303383,,3.307293
07-06-2026 03:13,,,                 NOP,,2.303383,,3.307293
07-06-2026 03:18,,,                 NOP,,2.390625,,3.375866
07-06-2026 03:23,,,                 NOP,,2.506943,,3.398727
07-06-2026 03:28,,,                 NOP,,2.390625,,3.490162
07-06-2026 03:33,,,                 NOP,,2.506943,,3.4673
07-06-2026 03:38,,,                 NOP,,2.390625,,3.4673
07-06-2026 03:43,,,                 NOP,,2.390625,,3.4673
07-06-2026 03:48,,,                 NOP,,2.070744,,3.4673
07-06-2026 03:53,,,                 NOP,,2.187065,,3.4673
07-06-2026 03:58,,,                 NOP,,2.390625,,3.4673
07-06-2026 04:03,,,                 NOP,,2.303383,,3.558735
07-06-2026 04:08,,,                 NOP,,1.954426,,3.558735
07-06-2026 04:13,,,                 NOP,,1.954426,,3.490162
07-06-2026 04:18,,,                 NOP,,2.506943,,3.4673
07-06-2026 04:23,,,                 NOP,,2.710506,,3.4673
07-06-2026 04:28,,,                 NOP,,2.826824,,3.4673
07-06-2026 04:33,,,                 NOP,,2.943142,,3.4673
07-06-2026 04:38,,,                 NOP,,3.146698,,3.4673
07-06-2026 04:43,,,                 NOP,,3.175781,,3.535881
07-06-2026 04:48,,,                 NOP,,3.292099,,3.558735
07-06-2026 04:53,,,                 NOP,,3.292099,,3.558735
